A,Fission Yield,noise,Z,N,E
66.53005300530053,0.00020037838947517623,0.003593401664509905,94,148,5.533600000000001
66.54065406540654,0.00020124408905911997,0.0038400278431709825,94,148,5.533600000000001
66.55125512551255,-8.159028085972968e-05,0.0038146812852710953,94,148,5.533600000000001
66.56185618561857,0.00020158872980846084,0.0035147580137744106,94,148,5.533600000000001
66.57245724572458,-0.00015207261361598482,0.0038360786291973927,94,148,5.533600000000001
66.58305830583058,-0.00045530123314461475,0.0039041000079805344,94,148,5.533600000000001
66.59365936593659,0.0003101270917157661,0.003656634984592522,94,148,5.533600000000001
66.6042604260426,0.00039896727922321325,0.0038764690746175786,94,148,5.533600000000001
66.61486148614861,-0.00022837189183472765,0.0036766342100925213,94,148,5.533600000000001
66.62546254625462,0.00035813319069216286,0.004001466073536266,94,148,5.533600000000001
66.63606360636064,-0.00011596568298404447,0.0037223382625463913,94,148,5.533600000000001
66.64666466646665,-6.646098357858892e-05,0.0033411010638477556,94,148,5.533600000000001
66.65726572657266,0.0001218231984484763,0.003816652842073188,94,148,5.533600000000001
66.66786678667867,-0.00022416062322742114,0.003589426316533682,94,148,5.533600000000001
66.67846784678468,0.000183748985340877,0.0037764270666397217,94,148,5.533600000000001
66.68906890689068,-1.3575125618775123e-05,0.0037410129506753884,94,148,5.533600000000001
66.6996699669967,-0.00012363301449737707,0.003789413504099836,94,148,5.533600000000001
66.7102710271027,0.00011952379039593756,0.0037928976471718885,94,148,5.533600000000001
66.72087208720872,3.876960521411673e-05,0.003562552348944711,94,148,5.533600000000001
66.73147314731473,9.5895063242089e-05,0.003807709873436984,94,148,5.533600000000001
66.74207420742074,0.00034681729269803895,0.0037582755562699543,94,148,5.533600000000001
66.75267526752675,-0.00011186819305491863,0.0037259595527070143,94,148,5.533600000000001
66.76327632763277,-0.0002183508789317836,0.003565728232326645,94,148,5.533600000000001
66.77387738773878,0.00011659422772318741,0.0037393369538951675,94,148,5.533600000000001
66.78447844784479,0.00012762459864311098,0.0038055394464706935,94,148,5.533600000000001
66.79507950795079,5.122396508939101e-05,0.003878016069923477,94,148,5.533600000000001
66.8056805680568,-4.824792780476532e-05,0.003917855376142445,94,148,5.533600000000001
66.81628162816281,8.907849170390682e-05,0.003985053119187139,94,148,5.533600000000001
66.82688268826882,-0.0003721422220226025,0.003666557027882934,94,148,5.533600000000001
66.83748374837484,9.291339541220646e-05,0.0036211298461738045,94,148,5.533600000000001
66.84808480848085,5.21637825323715e-05,0.003993199282555702,94,148,5.533600000000001
66.85868586858686,0.0002387987066908861,0.0036454669401359456,94,148,5.533600000000001
66.86928692869287,-6.7833002352370464e-06,0.0033373281613103727,94,148,5.533600000000001
66.87988798879888,-5.468549305380275e-06,0.0039820402840796965,94,148,5.533600000000001
66.8904890489049,0.00021636903352396464,0.0037222491540197583,94,148,5.533600000000001
66.9010901090109,0.00021692768267761353,0.0035697206010327364,94,148,5.533600000000001
66.9116911691169,0.00029919980035095987,0.003561849498463825,94,148,5.533600000000001
66.92229222922292,-5.124836604681329e-05,0.0039195562477324294,94,148,5.533600000000001
66.93289328932893,-0.0001603193696812488,0.003794201892239498,94,148,5.533600000000001
66.94349434943494,-0.0002748237893361126,0.0039101280996683046,94,148,5.533600000000001
66.95409540954095,-0.00014477055753909512,0.0038949096434519543,94,148,5.533600000000001
66.96469646964697,-3.255115648221634e-05,0.0034599817236068697,94,148,5.533600000000001
66.97529752975298,-8.597387145094989e-05,0.003617400170190848,94,148,5.533600000000001
66.98589858985899,0.00018520323806027076,0.003794371717871783,94,148,5.533600000000001
66.996499649965,-0.00029489827817254195,0.0036978026921645406,94,148,5.533600000000001
67.007100710071,-0.00019755071370666268,0.003630326529496599,94,148,5.533600000000001
67.01770177017701,0.00017209828227682887,0.003706598647518448,94,148,5.533600000000001
67.02830283028302,-0.00010880571463795046,0.003478475965598716,94,148,5.533600000000001
67.03890389038904,2.650123776919355e-05,0.0037424869806089995,94,148,5.533600000000001
67.04950495049505,2.69396776115618e-05,0.00403824155968873,94,148,5.533600000000001
67.06010601060106,-0.0003185515352353209,0.003770587963443935,94,148,5.533600000000001
67.07070707070707,-0.00018582175435341016,0.003904819228969792,94,148,5.533600000000001
67.08130813081308,0.00019790776150330376,0.003591910563093989,94,148,5.533600000000001
67.0919091909191,0.0003022159555521827,0.003616180426504475,94,148,5.533600000000001
67.10251025102511,-0.0002894739427558905,0.003855172446412288,94,148,5.533600000000001
67.1131113111311,0.00015238396028922026,0.003735991842204229,94,148,5.533600000000001
67.12371237123712,-8.357304432475745e-05,0.0034691110738544837,94,148,5.533600000000001
67.13431343134313,-0.00015402023430136406,0.0035735101482189825,94,148,5.533600000000001
67.14491449144914,-2.5164156329670305e-06,0.0037444016186841834,94,148,5.533600000000001
67.15551555155515,0.0003033771949339648,0.0036649148452009917,94,148,5.533600000000001
67.16611661166117,4.0502964435392157e-05,0.00386585274264411,94,148,5.533600000000001
67.17671767176718,-4.352361708107259e-05,0.0034070335694633665,94,148,5.533600000000001
67.18731873187319,-5.736691855146376e-05,0.0034609981067330307,94,148,5.533600000000001
67.1979197919792,-0.00027432789084904367,0.0037114707297883883,94,148,5.533600000000001
67.20852085208521,9.829300046250551e-05,0.0035981666710463074,94,148,5.533600000000001
67.21912191219121,1.8295269282860408e-05,0.0036064015582261393,94,148,5.533600000000001
67.22972297229722,0.0001707051738859689,0.0038908673235647376,94,148,5.533600000000001
67.24032403240324,-9.040742675879806e-05,0.0038341529519287636,94,148,5.533600000000001
67.25092509250925,-0.00014065495443906447,0.003868890713489628,94,148,5.533600000000001
67.26152615261526,4.6672704725069705e-05,0.003620888182759006,94,148,5.533600000000001
67.27212721272127,3.501705758674396e-05,0.003410672134642777,94,148,5.533600000000001
67.28272827282728,-0.00037946820027597055,0.003516621067154633,94,148,5.533600000000001
67.2933293329333,0.00028259303889292874,0.003923067028896311,94,148,5.533600000000001
67.30393039303931,-0.0001491916374718891,0.0037977839926269107,94,148,5.533600000000001
67.31453145314532,0.0001811382079971604,0.0036342209013335252,94,148,5.533600000000001
67.32513251325132,-0.00019159520528675583,0.0036323078362152043,94,148,5.533600000000001
67.33573357335733,-0.0003258744815558634,0.0035786477880459487,94,148,5.533600000000001
67.34633463346334,-0.00010720009400371024,0.0037886892848106716,94,148,5.533600000000001
67.35693569356935,0.00043528601459210384,0.003448957932205763,94,148,5.533600000000001
67.36753675367537,-0.00020417106636627013,0.0036078562929167837,94,148,5.533600000000001
67.37813781378138,-0.0004310430395018442,0.0037013577243645,94,148,5.533600000000001
67.38873887388739,-1.1978338447278456e-05,0.0037318602382654634,94,148,5.533600000000001
67.3993399339934,-0.00010885183888332265,0.0036347047737661244,94,148,5.533600000000001
67.40994099409941,7.653040078156157e-05,0.0038109672305421407,94,148,5.533600000000001
67.42054205420543,-0.0001442161752513705,0.0035344871566216985,94,148,5.533600000000001
67.43114311431142,0.000285017609756115,0.0036255586194462704,94,148,5.533600000000001
67.44174417441744,-1.9414063052017967e-05,0.0035394692360313073,94,148,5.533600000000001
67.45234523452345,-8.764748408694168e-05,0.003900086980712323,94,148,5.533600000000001
67.46294629462946,2.539195196467132e-05,0.003776922638188884,94,148,5.533600000000001
67.47354735473547,2.675896375229717e-05,0.0036538219287950446,94,148,5.533600000000001
67.48414841484148,0.0002953182455829527,0.0034861251404752244,94,148,5.533600000000001
67.4947494749475,9.481555252474423e-05,0.0038099429806155013,94,148,5.533600000000001
67.50535053505351,2.0689234512967467e-05,0.0035354653412843083,94,148,5.533600000000001
67.51595159515952,0.00016781522442166713,0.003298510071323315,94,148,5.533600000000001
67.52655265526553,-0.00014895546864497847,0.003668780362403365,94,148,5.533600000000001
67.53715371537153,-0.00026891788794955267,0.003602990885950446,94,148,5.533600000000001
67.54775477547754,-0.0002916216615030559,0.0035937135073323993,94,148,5.533600000000001
67.55835583558355,0.00011322981066225313,0.0033597618266510898,94,148,5.533600000000001
67.56895689568957,7.987202614307835e-05,0.003213601291395248,94,148,5.533600000000001
67.57955795579558,-7.176375408532693e-05,0.0035956291384726382,94,148,5.533600000000001
67.59015901590159,0.00012147529278657307,0.004090162978819209,94,148,5.533600000000001
67.6007600760076,-0.000470669006450289,0.0038640658464070936,94,148,5.533600000000001
67.61136113611362,-2.1984352271502382e-05,0.0036795791863830675,94,148,5.533600000000001
67.62196219621963,-0.0006413341327589684,0.0034997453563355356,94,148,5.533600000000001
67.63256325632564,-0.00029525458083112273,0.003651652645942482,94,148,5.533600000000001
67.64316431643164,9.060924076868773e-05,0.003576385634255271,94,148,5.533600000000001
