A,Fission Yield,noise,Z,N,E
66.0,8.34152622400575e-05,0.004064059601513928,90,142,5.28639
66.01060106010601,-0.00013463416868393245,0.0042670070303277175,90,142,5.28639
66.02120212021202,-0.00025890763195334307,0.003973521838868924,90,142,5.28639
66.03180318031804,-0.00023338220377108531,0.004077541399388522,90,142,5.28639
66.04240424042405,-0.0002776305909238938,0.0043404240247219734,90,142,5.28639
66.05300530053005,-0.00015489644355261452,0.00388485604699605,90,142,5.28639
66.06360636063606,-0.000121362919599852,0.0040522969688374,90,142,5.28639
66.07420742074207,0.00013701088427581822,0.004264124657207421,90,142,5.28639
66.08480848084808,-4.655474798620808e-05,0.004162069091402812,90,142,5.28639
66.0954095409541,-3.0216311410637488e-05,0.004177197636823523,90,142,5.28639
66.1060106010601,1.0004864698709036e-05,0.0038414517053597043,90,142,5.28639
66.11661166116612,6.093677794769627e-05,0.0041078147230548265,90,142,5.28639
66.12721272127213,1.4804795221589637e-05,0.0038440769896164375,90,142,5.28639
66.13781378137814,6.391431705763108e-06,0.004015182305023431,90,142,5.28639
66.14841484148415,-0.00015363244010295954,0.004079290794300946,90,142,5.28639
66.15901590159015,-0.00027538572859804264,0.004074206649477057,90,142,5.28639
66.16961696169616,0.00013755037378507191,0.004080287824222752,90,142,5.28639
66.18021802180218,3.235406768976139e-05,0.004056017895805732,90,142,5.28639
66.19081908190819,-0.00031950326236812566,0.00391073223698155,90,142,5.28639
66.2014201420142,1.812501446802651e-05,0.004064617348075514,90,142,5.28639
66.21202120212021,0.0002503946110286359,0.0038711885120717954,90,142,5.28639
66.22262226222622,5.611222968659716e-05,0.003958339988695011,90,142,5.28639
66.23322332233224,-0.00010633393327525059,0.003929229348329903,90,142,5.28639
66.24382438243825,-0.00012786588021036877,0.0038783857721944827,90,142,5.28639
66.25442544254426,-0.0002173323351175991,0.003778419400078385,90,142,5.28639
66.26502650265026,-3.3109829682674605e-05,0.0037685759613534796,90,142,5.28639
66.27562756275627,-0.00011133533714017899,0.0038541294282474887,90,142,5.28639
66.28622862286228,-8.202921199002608e-05,0.00398038212895217,90,142,5.28639
66.2968296829683,-0.00024723908419807794,0.0039219199061313334,90,142,5.28639
66.3074307430743,0.00013285101340358352,0.0038486498049239712,90,142,5.28639
66.31803180318032,6.72884205701485e-05,0.003814994889680701,90,142,5.28639
66.32863286328633,-0.00012673974733454668,0.004021293559352076,90,142,5.28639
