A,Fission Yield,noise,Z,N,E
66.0,-0.0002926217341691501,0.004087839536882141,91,140,6.049
66.01060106010601,-8.997528619140988e-05,0.004227158133073578,91,140,6.049
66.02120212021202,2.032101996017678e-05,0.004163446223806115,91,140,6.049
66.03180318031804,-0.0004196361473269466,0.0041873900834463115,91,140,6.049
66.04240424042405,-0.00041713531333193213,0.0038475734860707535,91,140,6.049
66.05300530053005,-5.6757368308604324e-05,0.003941810000935983,91,140,6.049
66.06360636063606,3.8290273209622075e-05,0.0040021709379034764,91,140,6.049
66.07420742074207,-0.00011565443464810779,0.003936177844505709,91,140,6.049
66.08480848084808,-0.0006169760315363364,0.003963542079929231,91,140,6.049
66.0954095409541,-9.157659658054602e-05,0.0037779523290978117,91,140,6.049
66.1060106010601,-2.9355218270736882e-05,0.0038854410919756765,91,140,6.049
66.11661166116612,5.84407762942844e-06,0.004177449269136406,91,140,6.049
66.12721272127213,-0.00025373925597587505,0.003731361506263876,91,140,6.049
66.13781378137814,-0.00024488858765800664,0.00393751770175685,91,140,6.049
66.14841484148415,3.164139902015065e-05,0.003748234011681181,91,140,6.049
66.15901590159015,4.985269805495714e-05,0.00393602263763264,91,140,6.049
66.16961696169616,-9.725172252661118e-05,0.004042246870753814,91,140,6.049
66.18021802180218,6.310737132657934e-05,0.0038863706634448074,91,140,6.049
66.19081908190819,-7.924082038995606e-05,0.003828491015288595,91,140,6.049
66.2014201420142,-0.00010901447038852182,0.003677847966563794,91,140,6.049
66.21202120212021,3.34795721702014e-05,0.0038064392329109067,91,140,6.049
66.22262226222622,-0.0005472267388680197,0.0038625418676460632,91,140,6.049
66.23322332233224,0.0001813238386351438,0.003834236470506025,91,140,6.049
66.24382438243825,-2.2393726843762143e-05,0.0038277774853152503,91,140,6.049
66.25442544254426,-0.00027236829800167265,0.0039888528041983895,91,140,6.049
66.26502650265026,-0.00028199692133299136,0.0037713377010197622,91,140,6.049
66.27562756275627,-0.00017450865887481216,0.00398571656778531,91,140,6.049
66.28622862286228,-0.00017240025225379423,0.0039046607816520884,91,140,6.049
