A,Fission Yield
66.0,-3.725158488620664e-06
66.01060106010601,8.580250510261158e-06
66.02120212021202,2.1796167731250092e-05
66.03180318031804,3.5341415057863295e-05
66.04240424042405,4.973436170890142e-05
66.05300530053005,6.414516041730359e-05
66.06360636063606,7.93523274727771e-05
66.07420742074207,9.466825426711906e-05
66.08480848084808,0.00011080318616362713
66.0954095409541,0.00012691577579589748
66.1060106010601,0.00014320108841001642
66.11661166116612,0.0001604369316848389
66.12721272127213,0.00017765785310646965
66.13781378137814,0.00019454205358041286
66.14841484148415,0.00021229141002272885
66.15901590159015,0.0002304550666728932
66.16961696169616,0.0002483863278228522
66.18021802180218,0.00026641260308223064
66.19081908190819,0.0002843939245932526
66.2014201420142,0.0003026378431786274
66.21202120212021,0.0003207283543858559
66.22262226222622,0.00033855215037714573
66.23322332233224,0.00035733519056879996
66.24382438243825,0.00037519901262766
66.25442544254426,0.0003934987530061901
66.26502650265026,0.0004112791471611307
66.27562756275627,0.0004292055012476956
66.28622862286228,0.00044680351382483106
66.2968296829683,0.0004640348805199172
66.3074307430743,0.0004814420900069548
66.31803180318032,0.0004981854729273838
66.32863286328633,0.0005147745217249713
66.33923392339234,0.0005313137856508279
66.34983498349835,0.0005471238589794463
66.36043604360437,0.0005628122044636047
66.37103710371036,0.0005779064513485164
66.38163816381638,0.0005924891769382301
66.39223922392239,0.0006067757760221418
66.4028402840284,0.000620622425692048
66.41344134413441,0.0006337614994430994
66.42404240424042,0.0006462766145716496
66.43464346434644,0.0006581711585921386
66.44524452445245,0.0006693693136068976
66.45584558455846,0.0006800459025444143
66.46644664466447,0.0006905473934748772
66.47704770477047,0.0006995934924357993
66.48764876487648,0.0007082522575987172
66.4982498249825,0.0007159232548736964
66.5088508850885,0.0007230440530402418
66.51945194519452,0.0007291028730602232
66.53005300530053,0.0007348212063966223
66.54065406540654,0.0007390185658008781
66.55125512551255,0.0007427329050051824
66.56185618561857,0.0007456453567013844
66.57245724572458,0.0007473832754068008
66.58305830583058,0.0007479903669902481
66.59365936593659,0.0007480519225127669
66.6042604260426,0.0007470337496368448
66.61486148614861,0.0007452135806761391
66.62546254625462,0.0007421396253554009
66.63606360636064,0.0007378948966293876
66.64666466646665,0.0007332075440964735
66.65726572657266,0.0007271655706911315
66.66786678667867,0.0007196516305691224
66.67846784678468,0.0007115677450811839
66.68906890689068,0.0007024770830947988
66.6996699669967,0.0006919621424817994
66.7102710271027,0.0006802965891482918
66.72087208720872,0.0006677508521842673
66.73147314731473,0.0006544271519344296
66.74207420742074,0.0006398106263976648
66.75267526752675,0.0006240082653938964
66.76327632763277,0.0006069179575409876
66.77387738773878,0.0005893778008024584
66.78447844784479,0.000570240740426269
66.79507950795079,0.0005503261950384165
66.8056805680568,0.0005294507163923413
66.81628162816281,0.0005075567617190126
66.82688268826882,0.0004846027531846417
66.83748374837484,0.0004608224824571215
66.84808480848085,0.00043581363480786205
66.85868586858686,0.00041050603537354236
66.86928692869287,0.00038321325489895793
66.87988798879888,0.00035585183210062583
66.8904890489049,0.0003273888688423065
66.9010901090109,0.00029815065413378903
66.9116911691169,0.0002683403117467057
66.92229222922292,0.00023742891455408793
66.93289328932893,0.0002055013441804494
66.94349434943494,0.0001734787487454392
66.95409540954095,0.0001409517488987056
66.96469646964697,0.00010705912627630813
66.97529752975298,7.31339721115727e-05
66.98589858985899,3.8320392674719034e-05
66.996499649965,3.584101440066688e-06
67.007100710071,-3.2304465350903314e-05
67.01770177017701,-6.849169060321741e-05
67.02830283028302,-0.00010472357231394966
67.03890389038904,-0.0001410034185117039
67.04950495049505,-0.00017809247324937987
67.06010601060106,-0.0002153278524646927
67.07070707070707,-0.00025242990787257375
67.08130813081308,-0.00028971534133045393
67.0919091909191,-0.00032685511056127457
67.10251025102511,-0.00036426932470374145
67.1131113111311,-0.0004016433230375958
67.12371237123712,-0.00043867150385188704
67.13431343134313,-0.0004756437242107741
67.14491449144914,-0.0005124466936052703
67.15551555155515,-0.0005490244090563777
67.16611661166117,-0.0005855473351708948
67.17671767176718,-0.0006210512806901864
67.18731873187319,-0.0006562031777198761
67.1979197919792,-0.0006913819825696615
67.20852085208521,-0.0007251471267321919
67.21912191219121,-0.0007590681710326128
67.22972297229722,-0.0007921671851460429
67.24032403240324,-0.0008244061577380763
67.25092509250925,-0.0008558661593185039
67.26152615261526,-0.0008865173044860647
67.27212721272127,-0.0009164133755456886
67.28272827282728,-0.0009453348283327767
67.2933293329333,-0.0009732797021099685
67.30393039303931,-0.0010003813620708627
67.31453145314532,-0.0010260895523001782
67.32513251325132,-0.0010510822874273365
67.33573357335733,-0.001074885642098159
67.34633463346334,-0.001097008466566795
67.35693569356935,-0.0011183046697311276
67.36753675367537,-0.001138533050209853
67.37813781378138,-0.0011571246398229503
67.38873887388739,-0.001174547751240986
67.3993399339934,-0.0011907219942151345
67.40994099409941,-0.0012051862000389472
67.42054205420543,-0.0012186958917026777
67.43114311431142,-0.0012305607728792412
67.44174417441744,-0.0012411565350380967
67.45234523452345,-0.0012500323369858657
67.46294629462946,-0.0012566515068498795
67.47354735473547,-0.001262769184927769
67.48414841484148,-0.001267374613646977
67.4947494749475,-0.0012705888395177268
67.50535053505351,-0.0012716479184625138
67.51595159515952,-0.0012716543701356267
67.52655265526553,-0.0012695475981176784
67.53715371537153,-0.0012661414296522586
67.54775477547754,-0.0012615440110137978
67.55835583558355,-0.0012548328517470763
67.56895689568957,-0.0012470646030712021
67.57955795579558,-0.0012376605629404668
67.59015901590159,-0.0012266079172553153
