A,Fission Yield,noise,Z,N,E
66.0,-5.0975436116380536e-05,0.00402889396627783,95,148,5.8672
66.01060106010601,9.160167246828314e-05,0.00397232180448422,95,148,5.8672
66.02120212021202,-3.9732020692636445e-05,0.004005237459901555,95,148,5.8672
66.03180318031804,4.132139754851731e-05,0.004031551040258431,95,148,5.8672
66.04240424042405,4.820966814367104e-05,0.0039692288038506605,95,148,5.8672
66.05300530053005,0.00012258118566555506,0.004090625635777426,95,148,5.8672
66.06360636063606,-0.00015774888381544166,0.003970582103131964,95,148,5.8672
66.07420742074207,-0.00010079788616387137,0.004060156023591426,95,148,5.8672
66.08480848084808,2.1741244140276576e-05,0.004010891614936961,95,148,5.8672
66.0954095409541,-0.00012659625809427523,0.004023201461241788,95,148,5.8672
66.1060106010601,3.64396241192085e-05,0.004059906587086971,95,148,5.8672
66.11661166116612,0.00020028862533147518,0.003958840186684481,95,148,5.8672
66.12721272127213,0.0001678804389964186,0.0039563527632905165,95,148,5.8672
66.13781378137814,-3.12881311238944e-06,0.0040254402304313285,95,148,5.8672
66.14841484148415,-5.574650967740276e-05,0.00405699319482468,95,148,5.8672
66.15901590159015,-4.6542468711988875e-05,0.003836663753491243,95,148,5.8672
66.16961696169616,-3.3717127569042538e-06,0.0038331084941636857,95,148,5.8672
66.18021802180218,3.3707548492507755e-06,0.003782735932976373,95,148,5.8672
66.19081908190819,0.00013793576070395547,0.0038784219964878154,95,148,5.8672
66.2014201420142,0.00021472991489013455,0.003920387453952346,95,148,5.8672
66.21202120212021,-0.0001228552218936871,0.00400567853570882,95,148,5.8672
66.22262226222622,0.00011730965056099147,0.00381935165092672,95,148,5.8672
66.23322332233224,3.987237708941418e-06,0.00394381753021413,95,148,5.8672
66.24382438243825,-9.325774415517019e-06,0.003686651716767584,95,148,5.8672
66.25442544254426,-2.8208674478366826e-05,0.0036446546910752333,95,148,5.8672
66.26502650265026,-0.0001290896281786077,0.003957805926472112,95,148,5.8672
66.27562756275627,-3.762229082826566e-05,0.003789240632065099,95,148,5.8672
66.28622862286228,-5.881107358536642e-05,0.0037433521569457708,95,148,5.8672
66.2968296829683,4.3835527187513895e-05,0.0038542224843026835,95,148,5.8672
66.3074307430743,-1.555765907845279e-05,0.0038353650725906786,95,148,5.8672
66.31803180318032,7.905066716340515e-05,0.003886779980712639,95,148,5.8672
66.32863286328633,-1.2660786785019928e-05,0.0037272422273637324,95,148,5.8672
66.33923392339234,5.6710838721477616e-05,0.003830349387473846,95,148,5.8672
66.34983498349835,2.8569591981561787e-05,0.00379294742100167,95,148,5.8672
66.36043604360437,1.5551543616673068e-06,0.003974672360648665,95,148,5.8672
66.37103710371036,9.416559015952057e-05,0.003890711260984581,95,148,5.8672
66.38163816381638,0.00021052510276507676,0.003789362927854648,95,148,5.8672
66.39223922392239,6.837070663755795e-05,0.003763468423576717,95,148,5.8672
66.4028402840284,3.4390413532476487e-06,0.0040657464858898755,95,148,5.8672
66.41344134413441,-5.283464157504214e-06,0.003918211843882137,95,148,5.8672
66.42404240424042,0.00010732797242356205,0.0037212070685516034,95,148,5.8672
66.43464346434644,1.3424766513618071e-05,0.0038465582384985806,95,148,5.8672
66.44524452445245,-8.6311207551652e-05,0.0038100212710148367,95,148,5.8672
66.45584558455846,7.636107242530162e-05,0.0037581247251678553,95,148,5.8672
66.46644664466447,-7.5129803601957805e-06,0.003664184431349825,95,148,5.8672
66.47704770477047,1.3960949398164187e-05,0.0036514786409310505,95,148,5.8672
66.48764876487648,0.00027305630832455955,0.0038092415337330713,95,148,5.8672
66.4982498249825,-6.521219745907826e-05,0.0038406817749431508,95,148,5.8672
66.5088508850885,-2.5838792551823607e-05,0.0038090171820890782,95,148,5.8672
66.51945194519452,5.481147285357535e-05,0.0039048730535172905,95,148,5.8672
66.53005300530053,3.954781933863888e-05,0.0038523673435906427,95,148,5.8672
66.54065406540654,7.195316160647172e-05,0.0035091461370408672,95,148,5.8672
