A,Fission Yield,Z,E,N
66,3.7088958e-08,92,5.30638,146
67,2.1493606e-07,92,5.30638,146
68,2.7991677e-07,92,5.30638,146
69,3.5789365e-07,92,5.30638,146
70,4.4086883e-07,92,5.30638,146
71,4.948528e-07,92,5.30638,146
72,6.0482005e-07,92,5.30638,146
73,2.0593878e-06,92,5.30638,146
74,2.769175e-06,92,5.30638,146
75,4.6186264e-06,92,5.30638,146
76,7.9976214e-06,92,5.30638,146
77,3.3000198e-05,92,5.30638,146
78,0.00011218663,92,5.30638,146
79,0.00032663285,92,5.30638,146
80,0.00042728275,92,5.30638,146
81,0.00086182368,92,5.30638,146
82,0.002137205,92,5.30638,146
83,0.00396119,92,5.30638,146
84,0.0082552442,92,5.30638,146
85,0.0074282909,92,5.30638,146
86,0.012960626,92,5.30638,146
87,0.016250226,92,5.30638,146
88,0.020274269,92,5.30638,146
89,0.0276023,92,5.30638,146
90,0.032459581,92,5.30638,146
91,0.040382378,92,5.30638,146
92,0.043111579,92,5.30638,146
93,0.049117913,92,5.30638,146
94,0.046086909,92,5.30638,146
95,0.051389145,92,5.30638,146
96,0.060155386,92,5.30638,146
97,0.055608062,92,5.30638,146
98,0.059432254,92,5.30638,146
99,0.06166357,92,5.30638,146
100,0.066953351,92,5.30638,146
101,0.062071598,92,5.30638,146
102,0.064454289,92,5.30638,146
103,0.062734139,92,5.30638,146
104,0.050344825,92,5.30638,146
105,0.040500382,92,5.30638,146
106,0.024889814,92,5.30638,146
107,0.014454356,92,5.30638,146
108,0.0060124118,92,5.30638,146
109,0.0025206509,92,5.30638,146
110,0.0014071813,92,5.30638,146
111,0.00071192828,92,5.30638,146
112,0.00055884377,92,5.30638,146
113,0.00046097279,92,5.30638,146
114,0.00039245321,92,5.30638,146
115,0.00037536836,92,5.30638,146
116,0.00039302312,92,5.30638,146
117,0.00037720782,92,5.30638,146
118,0.00043163154,92,5.30638,146
119,0.00039708196,92,5.30638,146
120,0.00038701489,92,5.30638,146
121,0.00036916028,92,5.30638,146
122,0.00041060792,92,5.30638,146
123,0.00044520757,92,5.30638,146
124,0.00046447181,92,5.30638,146
125,0.00048509571,92,5.30638,146
126,0.00054072912,92,5.30638,146
127,0.0013625346,92,5.30638,146
128,0.0028600089,92,5.30638,146
129,0.010110362,92,5.30638,146
130,0.019130838,92,5.30638,146
131,0.032898161,92,5.30638,146
132,0.051459632,92,5.30638,146
133,0.067606951,92,5.30638,146
134,0.07607143,92,5.30638,146
135,0.069655015,92,5.30638,146
136,0.069777585,92,5.30638,146
137,0.060507052,92,5.30638,146
138,0.057607379,92,5.30638,146
139,0.056684544,92,5.30638,146
140,0.058135376,92,5.30638,146
141,0.053349233,92,5.30638,146
142,0.045844121,92,5.30638,146
143,0.046206836,92,5.30638,146
144,0.045465866,92,5.30638,146
145,0.038078498,92,5.30638,146
146,0.034446038,92,5.30638,146
147,0.025919492,92,5.30638,146
148,0.021118567,92,5.30638,146
149,0.016247937,92,5.30638,146
150,0.012730772,92,5.30638,146
151,0.0094300789,92,5.30638,146
152,0.0053006944,92,5.30638,146
153,0.0033159302,92,5.30638,146
154,0.0021621667,92,5.30638,146
155,0.0014147291,92,5.30638,146
156,0.00076010384,92,5.30638,146
157,0.00041362691,92,5.30638,146
158,0.00018481501,92,5.30638,146
159,8.6164373e-05,92,5.30638,146
160,3.5429466e-05,92,5.30638,146
161,1.2146386e-05,92,5.30638,146
162,3.398988e-06,92,5.30638,146
163,2.0393935e-06,92,5.30638,146
164,1.2496281e-06,92,5.30638,146
165,7.6577218e-07,92,5.30638,146
166,5.6683144e-07,92,5.30638,146
167,4.3487054e-07,92,5.30638,146
168,2.839155e-07,92,5.30638,146
169,1.6994936e-07,92,5.30638,146
170,1.0196967e-07,92,5.30638,146
171,5.7182574e-08,92,5.30638,146
172,1.0696814e-07,92,5.30638,146
