A,Fission Yield,Z,E,N
66.0,-1.77727827036146e-05,96,6.4589000253,149
66.01060106010601,-1.7717400048440968e-05,96,6.4589000253,149
66.02120212021202,-1.7662029843961935e-05,96,6.4589000253,149
66.03180318031804,-1.7606672197852872e-05,96,6.4589000253,149
66.04240424042405,-1.755132721871432e-05,96,6.4589000253,149
66.05300530053005,-1.7495995016079965e-05,96,6.4589000253,149
66.06360636063606,-1.7440675700424292e-05,96,6.4589000253,149
66.07420742074207,-1.738536938317105e-05,96,6.4589000253,149
66.08480848084808,-1.7330076176700993e-05,96,6.4589000253,149
66.0954095409541,-1.727479619436017e-05,96,6.4589000253,149
66.1060106010601,-1.7219529550468077e-05,96,6.4589000253,149
66.11661166116612,-1.7164276360325978e-05,96,6.4589000253,149
66.12721272127213,-1.7109036740225264e-05,96,6.4589000253,149
66.13781378137814,-1.705381080745585e-05,96,6.4589000253,149
66.14841484148415,-1.6998598680314703e-05,96,6.4589000253,149
66.15901590159015,-1.694340047811447e-05,96,6.4589000253,149
66.16961696169616,-1.6888216321191806e-05,96,6.4589000253,149
66.18021802180218,-1.6833046330916557e-05,96,6.4589000253,149
66.19081908190819,-1.677789062970025e-05,96,6.4589000253,149
66.2014201420142,-1.6722749341004998e-05,96,6.4589000253,149
66.21202120212021,-1.6667622589352463e-05,96,6.4589000253,149
66.22262226222622,-1.6612510500332843e-05,96,6.4589000253,149
66.23322332233224,-1.655741320061397e-05,96,6.4589000253,149
66.24382438243825,-1.6502330817950483e-05,96,6.4589000253,149
66.25442544254426,-1.6447263481193013e-05,96,6.4589000253,149
66.26502650265026,-1.6392211320297647e-05,96,6.4589000253,149
66.27562756275627,-1.633717446633497e-05,96,6.4589000253,149
66.28622862286228,-1.6282153051499996e-05,96,6.4589000253,149
66.2968296829683,-1.6227147209121424e-05,96,6.4589000253,149
66.3074307430743,-1.6172157073671354e-05,96,6.4589000253,149
66.31803180318032,-1.6117182780774987e-05,96,6.4589000253,149
66.32863286328633,-1.6062224467220405e-05,96,6.4589000253,149
66.33923392339234,-1.6007282270968492e-05,96,6.4589000253,149
66.34983498349835,-1.5952356331162848e-05,96,6.4589000253,149
66.36043604360437,-1.589744678813984e-05,96,6.4589000253,149
66.37103710371036,-1.584255378343882e-05,96,6.4589000253,149
66.38163816381638,-1.578767745981203e-05,96,6.4589000253,149
66.39223922392239,-1.5732817961235333e-05,96,6.4589000253,149
66.4028402840284,-1.5677975432918305e-05,96,6.4589000253,149
66.41344134413441,-1.5623150021314798e-05,96,6.4589000253,149
66.42404240424042,-1.556834187413346e-05,96,6.4589000253,149
66.43464346434644,-1.551355114034842e-05,96,6.4589000253,149
66.44524452445245,-1.5458777970209975e-05,96,6.4589000253,149
66.45584558455846,-1.540402251525548e-05,96,6.4589000253,149
66.46644664466447,-1.5349284928320197e-05,96,6.4589000253,149
66.47704770477047,-1.529456536354841e-05,96,6.4589000253,149
66.48764876487648,-1.523986397640423e-05,96,6.4589000253,149
66.4982498249825,-1.518518092368322e-05,96,6.4589000253,149
66.5088508850885,-1.5130516363523369e-05,96,6.4589000253,149
66.51945194519452,-1.5075870455416577e-05,96,6.4589000253,149
66.53005300530053,-1.502124336022011e-05,96,6.4589000253,149
66.54065406540654,-1.4966635240168166e-05,96,6.4589000253,149
66.55125512551255,-1.4912046258883553e-05,96,6.4589000253,149
66.56185618561857,-1.4857476581389448e-05,96,6.4589000253,149
66.57245724572458,-1.4802926374121259e-05,96,6.4589000253,149
66.58305830583058,-1.4748395804938661e-05,96,6.4589000253,149
66.59365936593659,-1.4693885043137361e-05,96,6.4589000253,149
66.6042604260426,-1.4639394259461699e-05,96,6.4589000253,149
66.61486148614861,-1.458492362611663e-05,96,6.4589000253,149
66.62546254625462,-1.4530473316780143e-05,96,6.4589000253,149
66.63606360636064,-1.4476043506615746e-05,96,6.4589000253,149
66.64666466646665,-1.4421634372285026e-05,96,6.4589000253,149
66.65726572657266,-1.4367246091960352e-05,96,6.4589000253,149
66.66786678667867,-1.431287884533762e-05,96,6.4589000253,149
66.67846784678468,-1.4258532813649173e-05,96,6.4589000253,149
66.68906890689068,-1.4204208179676861e-05,96,6.4589000253,149
66.6996699669967,-1.414990512776485e-05,96,6.4589000253,149
66.7102710271027,-1.4095623843833288e-05,96,6.4589000253,149
66.72087208720872,-1.4041364515391328e-05,96,6.4589000253,149
66.73147314731473,-1.398712733155064e-05,96,6.4589000253,149
66.74207420742074,-1.3932912483038952e-05,96,6.4589000253,149
66.75267526752675,-1.387872016221372e-05,96,6.4589000253,149
66.76327632763277,-1.3824550563075902e-05,96,6.4589000253,149
66.77387738773878,-1.3770403881283849e-05,96,6.4589000253,149
66.78447844784479,-1.3716280314167291e-05,96,6.4589000253,149
66.79507950795079,-1.3662180060741559e-05,96,6.4589000253,149
66.8056805680568,-1.3608103321721508e-05,96,6.4589000253,149
66.81628162816281,-1.3554050299536325e-05,96,6.4589000253,149
66.82688268826882,-1.350002119834372e-05,96,6.4589000253,149
66.83748374837484,-1.3446016224044573e-05,96,6.4589000253,149
66.84808480848085,-1.3392035584297678e-05,96,6.4589000253,149
66.85868586858686,-1.3338079488534556e-05,96,6.4589000253,149
66.86928692869287,-1.3284148147974445e-05,96,6.4589000253,149
66.87988798879888,-1.3230241775639372e-05,96,6.4589000253,149
66.8904890489049,-1.3176360586369387e-05,96,6.4589000253,149
66.9010901090109,-1.3122504796837933e-05,96,6.4589000253,149
66.9116911691169,-1.3068674625567077e-05,96,6.4589000253,149
66.92229222922292,-1.3014870292943491e-05,96,6.4589000253,149
66.93289328932893,-1.2961092021233927e-05,96,6.4589000253,149
66.94349434943494,-1.2907340034601127e-05,96,6.4589000253,149
66.95409540954095,-1.28536145591198e-05,96,6.4589000253,149
66.96469646964697,-1.2799915822792769e-05,96,6.4589000253,149
66.97529752975298,-1.2746244055567186e-05,96,6.4589000253,149
66.98589858985899,-1.2692599489350964e-05,96,6.4589000253,149
66.996499649965,-1.2638982358029278e-05,96,6.4589000253,149
67.007100710071,-1.2585392897481286e-05,96,6.4589000253,149
67.01770177017701,-1.2531831345596665e-05,96,6.4589000253,149
67.02830283028302,-1.2478297942292968e-05,96,6.4589000253,149
67.03890389038904,-1.2424792929532423e-05,96,6.4589000253,149
